iter	Logloss
0	0.6886729431
1	0.6836503601
2	0.6796177673
3	0.6748764801
4	0.6701597595
5	0.6652293396
6	0.6615666962
7	0.6570378113
8	0.6526085663
9	0.6490039063
10	0.6449577332
11	0.6413580322
12	0.6379695129
13	0.6346274185
14	0.6304146194
15	0.6267217255
16	0.6229732132
17	0.6197021866
18	0.6163234711
19	0.613403244
20	0.6098323822
21	0.6068772888
22	0.6040480423
23	0.6007234192
24	0.5974794388
25	0.594205246
26	0.591678772
27	0.5890304184
28	0.5862612915
29	0.5835779572
30	0.5806060791
31	0.5778765488
32	0.5746370316
33	0.5724888611
34	0.5704038239
35	0.567866745
36	0.5653413391
37	0.562715683
38	0.5602410507
39	0.5573927689
40	0.554879303
41	0.5527056885
42	0.5499809265
43	0.5475159454
44	0.5448296356
45	0.5426591492
46	0.5409713745
47	0.5392842865
48	0.5370661926
49	0.5351584244
50	0.5334949875
51	0.531579895
52	0.5292950821
53	0.5274111938
54	0.525749588
55	0.5239487076
56	0.5227101135
57	0.520876503
58	0.5186634827
59	0.5169779968
60	0.5147674179
61	0.5130327606
62	0.5111943054
63	0.5095310211
64	0.5076392746
65	0.506049118
66	0.5046121979
67	0.5030233002
68	0.5015830231
69	0.4999837494
70	0.4982514191
71	0.4969247818
72	0.495271225
73	0.4938108444
74	0.4920480347
75	0.4904120636
76	0.4890091705
77	0.487373848
78	0.4861717987
79	0.4849344635
80	0.4836006927
81	0.4826037598
82	0.4811063385
83	0.4798206329
84	0.4786897278
85	0.4776649857
86	0.4761901855
87	0.4747579956
88	0.4733627319
89	0.4718543243
90	0.470857811
91	0.4698567963
92	0.468687973
93	0.467120285
94	0.4657043457
95	0.4644345093
96	0.4632309723
97	0.4623289108
98	0.4609680176
99	0.4599828339
100	0.4587897491
101	0.4575429535
102	0.4565158844
103	0.4555471039
104	0.4544540405
105	0.4533972931
106	0.452208252
107	0.4513135529
108	0.4504377365
109	0.4495133209
110	0.4484034348
111	0.4475945282
112	0.4466307831
113	0.4455199432
114	0.4446611023
115	0.4439891052
116	0.4432593536
117	0.4422402191
118	0.4412665558
119	0.4405120087
120	0.4396468353
121	0.4388537598
122	0.4380666733
123	0.4369969177
124	0.4360671997
125	0.4351202393
126	0.434201889
127	0.4329167175
128	0.4320288086
129	0.4315758514
130	0.4307243729
131	0.4298773193
132	0.4291007233
133	0.4283233643
134	0.4275928497
135	0.4270214462
136	0.4261402512
137	0.4254441833
